,reviews
1097,"** I have only had the laptop for a week, this review is only based off of the time I have had it**I was so nervous to buy a refurbished computer but this came like it was brand new. New packaging, new charger, spotless laptop. I was worried the battery would be bad and wouldn’t hold a charge. I was wrong. I downloaded over 12,000 photos and was on it nonstop for over 2 days without even having to charge it. I am in love with this!!!"
1098,"As in the description exactly, thank the seller for the fast shipping and good packaging"
1099,I love this laptop and I’m really happy with all the features. Would definitely recommend.
1100,Exactly as expected. Great value.
1101,"The product made a loud buzzing/grinding airplane-type noise as soon as it finished setting up which was truly deafening. I presume it was the fan producing this aggravating sound. No programs were running and the room was approximately 68 degrees Fahrenheit so overheating should not have been an issue. Since no computer should ever sound like a coffee maker at any time, I must conclude that it was defective. Return to sender."
1102,Exceeded my expectations! Some of the reviews had me a bit nervous but I can’t tell you how happy I am! The laptop is on almost brand new condition! Only 1 TINY nick on the front (you can’t see it unless your looking) and it was perfectly ready for me to set up my account! No issues or problems! It comes in a box perfectly protected and has the charger to go with as well👍🏼 So happy with it! Thank you!
1103,"I was so excited because this laptop came in perfect condition. But when I tried to change the unsername to my name it wouldn’t work. 3 calls to Apple later, and I find out this computer is owned by a school that can remotely access my laptop at any time. Meaning, if they wanted to they could shut down and erase my laptop. Amazon gave me a full refund but I am very sad and disappointed"
1104,"All in all, the laptop works great! It runs fast, it’s clean, and it’s perfect for what I needed it. The one disappointment I have it they claimed this product as a catagory A which means like new. When it arrived, the screen had two scratch marks on it that was discolored from the rest of the screen. I would understand like new for any other part to have a scratch, but the screen is a big deal and it should have mentioned that in the details."
1105,"This MacBook Air is amazing!  I had been previously using a 2007 MacBook Air and it was time to upgrade.  I have never purchased refurbished before so I really didn't know what to expect, though was greatly concerned.  Needless to say that this laptop heavily exceeded my expectations.  Other reviewers stated that their MacBook was not as described, though mine looks brand new.  The keys are still crisp and clean, the screen immaculate.  There are a few light scratches on the outside of the computer (mostly the underside), but it is very minimal and unnoticeable.It runs like a dream, though I have only begun using it.  I will update should the computer have any issues.  It is an early 2015 with 4 GB RAM and its OS is Sierra.  I wanted to share that, as I found the Q&A to be a little confusing on that point and other reviews didn't really mention it."
1106,"When I received this package, I was thrilled...until I tried to turn it on and got a “low battery” notification...for 16+ hours. Turns out the cord provided (not a Mac product) is not the correct wattage to charge this device. It’s hard to tell at this point if the computer is faulty or not now that I’ve purchased a new cord from Best Buy, but it shuts down as soon as it’s disconnected from power. The screen is pretty floppy, too- falls back without provocation. All of which seem like things that should have been mentioned in the details before I decided to purchase.After taking this computer to the Apple store, I was informed that the issue was indeed the battery- completely bad and had to be replaced. Again, something that I wish I had known before purchasing. It is in working order now, but doesn’t meet my standards of what “certified refurbished” means, and product details lacking for sufficient purchasing knowledge ahead of time."
1107,"It said I had to do an update. When I hit the only update allowed it said the latest version was already installed but it wouldn’t let me go foward.  Also the screen seemed loose.  So if it was cleared out they never installed the new software correctly. So it wouldn’t let me even get to the main screen.  Others had luck but I did not.Also when I plugged the power bar in. It had a bit of a shock come out. As an electrician, I know that was a big no no.  I was willing to spend the money and get the correct power cord. But with everything else. I thought that’s already 3 strikes. No thanks."
